competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
BAFA National Leagues,2025,NFC 1 MIDLANDS,2025-05-11,Sandwell Steelers,Shropshire Revolution,13,13,,,,,FALSE,day,,15:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 EAST,2025-05-11,East Kent Mavericks,Essex Tridents,42,5,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 CENTRAL,2025-05-11,Sussex Thunder,Wembley Stallions,0,60,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 1 WEST,2025-05-11,Bournemouth Bobcats,Solent Thrashers,C,"Cancelled
C",,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 NORTH,2025-05-11,Darlington Steam,Gateshead Senators,24,52,,,,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,NFC 2 MIDLANDS,2025-05-11,Leicester Panthers,Lancashire Buccaneers,38,0,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 2 EAST,2025-05-11,Oxford Saints,Ipswich Cardinals,18,9,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 2 EAST,2025-05-11,Norwich Devils,Ouse Valley Eagles,6,18,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,SFC 2 WEST,2025-05-11,Hereford Stampede,Swindon Storm,14,19,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP NORTH,2025-05-17,East Kilbride Pirates,Manchester Titans,7,36,,,,,FALSE,day,,15:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP SOUTH,2025-05-18,Bristol Aztecs,London Blitz,20,7,Finsbury Park,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
BAFA National Leagues,2025,PREMIERSHIP SOUTH,2025-05-18,Hertfordshire Cheetahs,London Warriors,7,50,,,,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
