competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach
buafl,2008,,2009-02-15,Brighton Panthers,Southampton Stags,18,65,,,Tony Bainbridge,
buafl,2008,,2009-02-08,Greenwich Mariners,Brighton Panthers,19,0,Falmer Campus,,,Tony Bainbridge
buafl,2008,,2009-01-31,Brighton Panthers,Portsmouth Destroyers,3,0,,,Tony Bainbridge,
buafl,2008,,2009-01-25,Royal Holloway Bears,Brighton Panthers,0,46,Falmer Campus,,,Tony Bainbridge
buafl,2008,,2008-12-07,Surrey Stingers,Brighton Panthers,7,12,Falmer Campus,,,Tony Bainbridge
buafl,2008,,2008-11-23,UEA Pirates,Brighton Panthers,19,13,Falmer Campus,,,Tony Bainbridge
buafl,2008,,2008-11-09,Brighton Panthers,Anglia Ruskin Phantoms,26,6,,,Tony Bainbridge,
buafl,2007,,2008-02-24,Brighton Panthers,Surrey Stingers,35,6,,,Eber Kington,
buafl,2007,,2008-02-17,Royal Holloway Bears,Brighton Panthers,7,6,Falmer Campus,,,Eber Kington
buafl,2007,,2007-02-10,Brighton Panthers,Portsmouth Destroyers,0,10,,,Eber Kington,
buafl,2007,,2008-02-03,Brighton Panthers,Southampton Stags,0,58,,,Eber Kington,
buafl,2007,,2007-12-02,Southampton Stags,Brighton Panthers,45,0,Falmer Campus,,,Eber Kington
buafl,2007,,2007-11-25,Reading Knights,Brighton Panthers,23,8,Falmer Campus,,,Eber Kington
buafl,2007,,2007-11-18,Brighton Panthers,Royal Holloway Bears,6,13,,,Eber Kington,
buafl,2007,,2007-11-09,Portsmouth Destroyers,Brighton Panthers,7,8,Falmer Campus,,,Eber Kington
bcafl,2006,,,Brighton Panthers,Portsmouth Destroyers,28,2,,,Eber Kington,
bcafl,2006,,,Southampton Stags,Brighton Panthers,40,0,Falmer Campus,,,Eber Kington
bcafl,2006,,,Brighton Panthers,Anglia Ruskin Phantoms,46,0,,,Eber Kington,
bcafl,2006,,,Reading Knights,Brighton Panthers,22,20,Falmer Campus,,,Eber Kington
bcafl,2006,,,UWE Bullets,Brighton Panthers,0,0,Falmer Campus,,,Eber Kington
bcafl,2006,,,Brighton Panthers,Surrey Stingers,2,16,,,Eber Kington,
bcafl,2006,,,Brighton Panthers,Oxford Cavaliers,12,7,,,Eber Kington,
